Rho,Lambda,Alpha,SimulationTime,PacketLength,TransmissionRate,BufferExist,BufferSize,AvgNumberPackets,AvgSoujournTime,IdleProb,LossProb
0.5,41.6667,125,10000,12000,1.00E+06,TRUE,10,0.970811,0.0233717,0.500585,0.000379805
0.6,50,150,10000,12000,1.00E+06,TRUE,10,1.43365,0.0288024,0.401521,0.00227922
0.7,58.3333,175,10000,12000,1.00E+06,TRUE,10,2.08448,0.036121,0.305588,0.00844009
0.8,66.6667,200,10000,12000,1.00E+06,TRUE,10,2.96536,0.0456462,0.219117,0.0231471
0.9,75,225,10000,12000,1.00E+06,TRUE,10,3.97769,0.0558664,0.145942,0.0516427
1,83.3333,250,10000,12000,1.00E+06,TRUE,10,4.98796,0.0657667,0.0914092,0.0915262
1.1,91.6667,275,10000,12000,1.00E+06,TRUE,10,5.9419,0.0753633,0.0540159,0.140143
1.2,100,300,10000,12000,1.00E+06,TRUE,10,6.72418,0.0831909,0.030894,0.192499
1.3,108.333,325,10000,12000,1.00E+06,TRUE,10,7.32665,0.0896978,0.0177254,0.24643
1.4,116.667,350,10000,12000,1.00E+06,TRUE,10,7.76559,0.0941131,0.0102602,0.2931
1.5,125,375,10000,12000,1.00E+06,TRUE,10,8.13917,0.098186,0.00558817,0.337462
,,,,,,,,,,,
,,5,10,40,Buffer Inf,,,,,,
,Rho,AvgNumberPackets,AvgNumberPackets,AvgNumberPackets,AvgNumberPackets,,,,,,
,0.5,0.905383,0.970811,0.802125,0.804816,,,,,,
,0.6,1.20413,1.43365,1.07506,1.07762,,,,,,
,0.7,1.53464,2.08448,1.42599,1.42833,,,,,,
,0.8,1.86462,2.96536,1.91515,1.91213,,,,,,
,0.9,2.2028,3.97769,2.71495,2.69994,,,,,,
,1,2.50405,4.98796,10.322,10.3861,,,,,,
,1.1,2.77986,5.9419,30.8396,42078.5,,,,,,
,1.2,3.02194,6.72418,34.974,83169.2,,,,,,
,1.3,3.23115,7.32665,36.693,123865,,,,,,
,1.4,3.41837,7.76559,37.5084,166462,,,,,,
,1.5,3.58093,8.13917,38.0083,208518,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,5,10,40,Buffer Inf,,,,,,
,Rho,LossProb,LossProb,LossProb,LossProb,,,,,,
,0.5,,0.000379805,,,,,,,,
,0.6,,0.00227922,,,,,,,,
,0.7,,0.00844009,,,,,,,,
,0.8,,0.0231471,,,,,,,,
,0.9,,0.0516427,,,,,,,,
,1,,0.0915262,,,,,,,,
,1.1,,0.140143,,,,,,,,
,1.2,,0.192499,,,,,,,,
,1.3,,0.24643,,,,,,,,
,1.4,,0.2931,,,,,,,,
,1.5,,0.337462,,,,,,,,
