Rho,Lambda,Alpha,SimulationTime,PacketLength,TransmissionRate,BufferExist,BufferSize,AvgNumberPackets,AvgSoujournTime,IdleProb,LossProb
0.5,41.6667,125,10000,12000,1e+006,false,5,0.804816,0.0192652,0.499965,0
0.6,50,150,10000,12000,1e+006,false,5,1.07762,0.0215475,0.400122,0
0.7,58.3333,175,10000,12000,1e+006,false,5,1.42833,0.024539,0.300112,0
0.8,66.6667,200,10000,12000,1e+006,false,5,1.91213,0.0287579,0.200207,0
0.9,75,225,10000,12000,1e+006,false,5,2.69994,0.0358803,0.0994569,0
1,83.3333,250,10000,12000,1e+006,false,5,10.3861,0.124688,1.43982e-005,0
1.1,91.6667,275,10000,12000,1e+006,false,5,42078.5,504.481,1.89081e-005,0
1.2,100,300,10000,12000,1e+006,false,5,83169.2,1001.56,7.66801e-006,0
1.3,108.333,325,10000,12000,1e+006,false,5,123865,1484.61,1.84545e-006,0
1.4,116.667,350,10000,12000,1e+006,false,5,166462,1999.94,4.28478e-006,0
1.5,125,375,10000,12000,1e+006,false,5,208518,2499.25,6.1324e-006,0
