Rho,Lambda,Alpha,SimulationTime,PacketLength,TransmissionRate,BufferExist,BufferSize,AvgNumberPackets,AvgSoujournTime,IdleProb,LossProb
0.4,33.3333,100,10000,12000,1.00E+06,TRUE,5,0.639811,0.0193016,0.603244,0.00624676
0.5,41.6667,125,10000,12000,1.00E+06,TRUE,5,0.902801,0.0219719,0.508421,0.0155942
0.6,50,150,10000,12000,1.00E+06,TRUE,5,1.20602,0.0249311,0.420074,0.0325451
0.7,58.3333,175,10000,12000,1.00E+06,TRUE,5,1.5355,0.0279131,0.340121,0.0574946
0.8,66.6667,200,10000,12000,1.00E+06,TRUE,5,1.8691,0.0307652,0.271548,0.0889386
0.9,75,225,10000,12000,1.00E+06,TRUE,5,2.19537,0.0334956,0.213602,0.126158
1,83.3333,250,10000,12000,1.00E+06,TRUE,5,2.49388,0.0359133,0.167308,0.165934
1.1,91.6667,275,10000,12000,1.00E+06,TRUE,5,2.77362,0.0382258,0.129654,0.208801
1.2,100,300,10000,12000,1.00E+06,TRUE,5,3.02038,0.0403049,0.10115,0.251247
1.3,108.333,325,10000,12000,1.00E+06,TRUE,5,3.23876,0.0421667,0.0782381,0.29115
1.4,116.667,350,10000,12000,1.00E+06,TRUE,5,3.42205,0.0437605,0.0605567,0.329519
1.5,125,375,10000,12000,1.00E+06,TRUE,5,3.57733,0.0449703,0.0478981,0.364936
1.6,133.333,400,10000,12000,1.00E+06,TRUE,5,3.71953,0.0463864,0.0375539,0.399302
1.7,141.667,425,10000,12000,1.00E+06,TRUE,5,3.82922,0.0473333,0.0302476,0.429276
1.8,150,450,10000,12000,1.00E+06,TRUE,5,3.93493,0.048394,0.0234821,0.457884
1.9,158.333,475,10000,12000,1.00E+06,TRUE,5,4.0209,0.0491126,0.0193683,0.483726
2,166.667,500,10000,12000,1.00E+06,TRUE,5,4.09392,0.0499163,0.0160179,0.507701
,,,,,,,,,,,
,,5,10,40,,,,,,,
,Rho,LossProb,,,,,,,,,
,0.4,0.00624676,4.20E-05,0,,,,,,,
,0.5,0.0155942,0.000395212,0,,,,,,,
,0.6,0.0325451,0.0021788,0,,,,,,,
,0.7,0.0574946,0.00916168,0,,,,,,,
,0.8,0.0889386,0.0234199,0,,,,,,,
,0.9,0.126158,0.049518,0.00159085,,,,,,,
,1,0.165934,0.0913993,0,,,,,,,
,1.1,0.208801,0.139721,0.0928013,,,,,,,
,1.2,0.251247,0.193146,0.166957,,,,,,,
,1.3,0.29115,0.244212,0.230554,,,,,,,
,1.4,0.329519,0.292485,0.285675,,,,,,,
,1.5,0.364936,0.338464,0.333215,,,,,,,
,1.6,0.399302,0.37645,0.374401,,,,,,,
,1.7,0.429276,0.413,0.412423,,,,,,,
,1.8,0.457884,0.444553,0.444,,,,,,,
,1.9,0.483726,0.473179,0.473168,,,,,,,
,2,0.50798,0.500385,0.500433,,,,,,,
,2.2,0.550425,0.544853,0.545467,,,,,,,
,2.4,0.58685,0.58399,0.583397,,,,,,,
,2.6,0.617832,0.615164,0.614948,,,,,,,
,2.8,0.642894,0.642715,0.642977,,,,,,,
,3,0.667651,0.66694,0.666477,,,,,,,
,3.2,0.688313,0.687572,0.687121,,,,,,,
,3.4,0.706464,0.706108,0.705927,,,,,,,
,3.6,0.72242,0.722017,0.722126,,,,,,,
,3.8,0.736945,0.73717,0.736599,,,,,,,
,4,0.750259,0.750059,0.749945,,,,,,,
,4.2,0.761616,0.762245,0.762379,,,,,,,
,4.4,0.773234,0.77277,0.772989,,,,,,,
,4.6,0.782643,0.782647,0.78287,,,,,,,
,4.8,0.791127,0.791454,0.791322,,,,,,,
,5,0.799962,0.799758,0.799955,,,,,,,
,5.4,0.814672,0.814941,0.81499,,,,,,,
,5.8,0.82764,0.827139,0.827713,,,,,,,
,6.2,0.838456,0.839048,0.838767,,,,,,,
,6.6,0.848254,0.848471,0.848508,,,,,,,
,7,0.856961,0.857134,0.857092,,,,,,,
,7.4,0.86471,0.864699,0.864682,,,,,,,
,7.8,0.871804,0.871762,0.871596,,,,,,,
,8.2,0.87791,0.877903,0.878106,,,,,,,
,8.6,0.883649,0.883236,0.883411,,,,,,,
,9,0.888897,0.888762,0.888963,,,,,,,
,9.4,0.893708,0.893538,0.893488,,,,,,,
,9.8,0.897864,0.898018,0.897914,,,,,,,
