Rho,Lambda,Alpha,SimulationTime,PacketLength,TransmissionRate,BufferExist,BufferSize,AvgNumberPackets,AvgSoujournTime,IdleProb,LossProb
2,166.667,500,10000,12000,1e+006,true,5,4.09413,0.0499398,0.0159153,0.50798
2.2,183.333,550,10000,12000,1e+006,true,5,4.21907,0.0511582,0.0106328,0.550425
2.4,200,600,10000,12000,1e+006,true,5,4.31938,0.0522401,0.00732404,0.58685
2.6,216.667,650,10000,12000,1e+006,true,5,4.39453,0.0530562,0.00510929,0.617832
2.8,233.333,700,10000,12000,1e+006,true,5,4.45501,0.053517,0.00371411,0.642894
3,250,750,10000,12000,1e+006,true,5,4.5087,0.0542342,0.00272994,0.667651
3.2,266.667,800,10000,12000,1e+006,true,5,4.55044,0.0547614,0.0020363,0.688313
3.4,283.333,850,10000,12000,1e+006,true,5,4.58718,0.0551764,0.00155306,0.706464
3.6,300,900,10000,12000,1e+006,true,5,4.61778,0.0554539,0.00114268,0.72242
3.8,316.667,950,10000,12000,1e+006,true,5,4.64512,0.055746,0.000879519,0.736945
4,333.333,1000,10000,12000,1e+006,true,5,4.66826,0.0560763,0.000759058,0.750259
4.2,350,1050,10000,12000,1e+006,true,5,4.68858,0.0562217,0.000570647,0.761616
4.4,366.667,1100,10000,12000,1e+006,true,5,4.70769,0.0565562,0.000449877,0.773234
4.6,383.333,1150,10000,12000,1e+006,true,5,4.723,0.0566973,0.000374605,0.782643
4.8,400,1200,10000,12000,1e+006,true,5,4.73649,0.056727,0.00030057,0.791127
5,416.667,1250,10000,12000,1e+006,true,5,4.751,0.0570606,0.0002476,0.800242
