Rho,Lambda,Alpha,SimulationTime,PacketLength,TransmissionRate,BufferExist,BufferSize,AvgNumberPackets,AvgSoujournTime,IdleProb,LossProb
5,416.667,1250,10000,12000,1e+006,true,5,4.75123,0.0569813,0.000249698,0.799962
5.4,450,1350,10000,12000,1e+006,true,5,4.77261,0.0572152,0.000182792,0.814672
5.8,483.333,1450,10000,12000,1e+006,true,5,4.79223,0.0574999,0.000117377,0.82764
6.2,516.667,1550,10000,12000,1e+006,true,5,4.80743,0.0575813,0.000100639,0.838456
6.6,550,1650,10000,12000,1e+006,true,5,4.82109,0.0577739,6.99688e-005,0.848254
7,583.333,1750,10000,12000,1e+006,true,5,4.83346,0.0579634,6.01225e-005,0.856961
7.4,616.667,1850,10000,12000,1e+006,true,5,4.84381,0.0580966,3.6924e-005,0.86471
7.8,650,1950,10000,12000,1e+006,true,5,4.85299,0.0582399,3.1789e-005,0.871804
8.2,683.333,2050,10000,12000,1e+006,true,5,4.86132,0.0582769,2.3365e-005,0.87791
8.6,716.667,2150,10000,12000,1e+006,true,5,4.86839,0.058365,1.98537e-005,0.883649
9,750,2250,10000,12000,1e+006,true,5,4.87507,0.0585268,1.19938e-005,0.888897
9.4,783.333,2350,10000,12000,1e+006,true,5,4.88088,0.0586481,1.22969e-005,0.893708
9.8,816.667,2450,10000,12000,1e+006,true,5,4.8864,0.0585867,1.0899e-005,0.897864
